accessibility.AOM.enabled	accessibility.tabfocus_applies_to_xul	alerts.showFavicons	app.update.cert.checkAttributes	apz.allow_checkerboarding	apz.disable_for_scroll_linked_effects	apz.minimap.visibility.enabled	apz.record_checkerboarding	autocomplete.ungrab_during_mode_switch	bidi.edit.delete_immediately	browser.cache.disk.enable	browser.cache.disk.smart_size.first_run	browser.chrome.site_icons	browser.display.force_inline_alttext	browser.download.manager.addToRecentDocs	browser.download.manager.showAlertOnComplete	browser.fixup.dns_first_for_single_words	browser.formfill.saveHttpsForms	browser.meta_refresh_when_inactive.disabled	browser.safebrowsing.downloads.remote.enabled	browser.search.log	browser.search.update	browser.triple_click_selects_paragraph	camera.control.face_detection.enabled	canvas.imagebitmap_extensions.enabled	chat.irc.automaticList	clipboard.plainTextOnly	datareporting.policy.dataSubmissionPolicyBypassNotification	devtools.browserconsole.filter.info	devtools.browserconsole.filter.serverinfo	devtools.browserconsole.filter.sharedworkers	devtools.chrome.enabled	devtools.command-button-screenshot.enabled	devtools.debugger.enabled	devtools.debugger.remote-websocket	extensions.getAddons.databaseSchema	extensions.databaseSchema	mail.server.server1.authMethod	mail.smtpserver.smtp1.authMethod	mail.server.server1.socketType
true	false	false	false	false	false	false	true	false	true	true	false	false	false	false	false	false	true	false	true	false	false	true	false	true	true	true	true	false	true	true	true	false	false	false	5	19	6	10	1
true	false	false	true	true	false	false	false	true	false	false	true	true	true	true	true	false	true	false	true	false	true	true	true	false	false	false	false	true	true	false	true	false	false	false	1	16	6	2	2
true	false	true	true	false	false	false	true	false	false	true	false	false	true	true	false	false	true	true	true	true	false	true	true	false	false	false	false	false	false	false	true	true	true	false	3	3	6	6	3
false	false	true	false	true	false	false	false	true	true	true	false	true	true	false	true	false	true	false	true	false	true	false	false	true	true	true	false	true	true	true	true	false	true	false	3	8	3	2	3
true	false	false	false	false	false	true	false	true	false	true	false	true	true	false	true	true	true	false	true	false	true	true	false	false	true	false	true	true	true	true	false	true	true	false	4	16	7	5	3
false	true	true	true	false	false	false	false	true	false	true	false	true	true	true	false	true	true	false	false	true	false	true	true	true	false	true	true	true	true	true	false	true	true	true	2	3	2	1	2
true	true	false	false	true	false	false	true	false	false	false	true	true	true	true	false	true	false	true	false	false	true	false	true	false	false	false	false	true	true	true	true	false	true	false	3	13	6	5	3
false	false	true	false	false	true	true	false	true	true	true	false	false	false	true	false	true	false	false	true	false	true	true	false	true	false	true	true	true	true	false	true	true	false	true	5	8	10	5	3
true	true	true	true	false	false	false	true	false	false	false	true	true	true	true	false	true	true	false	true	true	true	true	false	true	true	true	true	false	false	true	true	false	false	true	4	11	2	6	1
true	false	false	false	false	false	true	true	false	true	false	true	true	false	false	false	true	false	true	true	false	false	false	true	true	false	true	true	true	true	true	false	true	false	false	2	6	5	6	3
true	false	false	true	true	true	true	false	false	false	true	true	true	true	true	true	true	false	true	false	false	false	true	false	true	true	true	true	true	false	true	false	true	false	true	4	11	5	1	1
false	false	false	true	true	true	true	true	false	false	true	false	true	false	true	false	true	true	true	false	true	true	true	false	false	false	false	false	false	false	false	true	false	false	false	5	13	10	7	2
false	true	true	false	false	false	false	false	true	true	true	true	false	false	true	false	true	true	false	false	false	false	true	false	true	false	false	true	true	false	false	false	true	false	false	1	1	3	9	2
false	true	false	true	false	true	false	true	false	true	true	false	false	false	false	false	true	false	false	true	false	true	true	false	false	true	false	true	false	false	false	true	true	false	true	3	11	1	9	1
false	true	true	false	false	true	true	false	false	false	false	false	false	false	false	false	true	true	false	false	true	false	false	false	false	true	true	false	true	true	true	true	true	true	false	5	3	7	3	2
true	false	false	true	true	true	true	true	false	true	false	true	false	false	true	false	false	true	true	true	false	false	false	true	false	false	true	true	false	true	false	true	true	false	false	2	6	1	2	3
false	true	true	true	false	false	true	false	true	false	true	false	false	true	true	false	true	false	true	true	true	false	true	false	false	false	false	true	false	true	true	false	false	true	true	1	11	6	7	3
true	false	false	true	false	false	false	false	true	false	false	true	true	false	true	true	false	true	false	true	false	true	false	false	false	true	true	false	false	false	false	true	false	false	false	4	19	3	7	2
false	false	false	false	false	false	false	true	true	true	true	false	false	false	false	true	false	true	false	false	true	false	true	true	true	false	true	true	false	true	false	false	true	true	false	1	16	9	3	1
false	true	false	false	true	false	false	false	true	true	true	false	true	true	false	false	false	true	true	true	false	false	false	true	false	false	true	false	false	true	false	false	true	false	false	2	13	3	3	1
false	false	false	false	true	false	true	true	false	true	false	true	false	false	false	true	true	true	true	false	true	true	true	false	false	false	true	true	false	false	false	true	true	false	true	5	8	9	1	3
false	true	false	true	false	false	true	true	true	true	false	true	false	false	true	true	false	true	false	true	false	false	true	false	true	false	true	false	false	true	true	false	false	false	false	2	8	2	10	3
false	true	false	false	false	false	true	false	true	false	true	false	false	true	true	false	false	true	false	false	false	true	true	false	true	true	true	false	true	true	true	false	true	true	true	5	16	10	6	3
true	false	false	true	true	false	false	false	true	false	true	false	true	true	false	true	true	true	true	false	false	false	true	false	false	true	true	false	true	false	false	false	true	false	true	1	13	5	10	3
false	false	false	true	false	false	true	true	true	false	true	false	false	false	true	false	true	false	false	false	false	true	true	false	true	false	true	false	false	false	true	true	false	true	false	4	1	9	7	2
true	false	true	false	true	true	true	true	true	false	false	false	true	true	false	true	false	false	true	true	false	true	true	true	true	false	true	true	false	true	true	false	false	true	true	5	6	6	3	1
false	true	true	true	false	true	true	true	false	true	true	false	false	false	false	false	true	true	false	true	false	true	false	true	false	false	false	false	false	true	false	true	true	false	true	5	13	2	7	3
false	false	false	false	true	true	true	false	true	false	true	false	true	false	false	true	true	true	false	true	false	false	false	false	false	true	false	false	true	false	true	false	true	false	true	2	11	9	10	3
true	false	false	false	false	false	false	true	false	false	false	false	false	false	false	false	true	false	false	true	false	false	true	true	false	true	false	false	false	false	true	false	false	false	false	5	6	3	9	3
true	false	false	true	false	false	true	true	false	true	false	false	true	true	true	false	false	false	true	false	false	true	true	true	true	false	true	false	true	false	false	true	true	false	false	5	3	9	5	3
true	true	false	false	false	true	false	false	false	false	true	true	true	false	true	false	true	true	false	false	true	true	false	true	true	true	true	true	true	true	false	true	true	true	false	3	6	10	1	2
false	true	true	false	true	true	true	true	true	false	true	false	true	false	true	true	false	true	false	false	false	false	true	false	false	false	true	false	false	true	true	true	false	false	true	5	11	7	9	3
false	true	false	false	false	true	true	false	true	true	true	false	false	true	true	false	false	false	true	false	false	true	true	true	false	true	false	false	false	true	true	false	true	true	true	2	13	6	9	3
false	true	true	false	true	false	false	false	false	false	true	true	true	true	true	false	true	false	true	false	false	false	false	false	false	true	true	false	true	false	true	true	false	false	false	1	19	2	2	2
true	true	false	true	false	false	true	false	false	true	true	false	false	true	false	false	true	true	false	false	false	false	false	true	false	false	true	false	true	true	true	true	true	true	true	4	6	9	7	1
false	true	false	true	false	true	false	false	true	false	true	false	false	true	false	true	true	true	true	false	false	false	true	true	false	false	false	false	false	false	true	true	false	false	false	1	19	1	5	1
false	true	true	false	false	false	false	true	true	false	true	true	false	false	true	false	false	false	true	true	false	true	false	false	false	true	true	true	true	false	true	true	false	true	true	2	16	1	10	2
false	true	true	true	false	true	true	true	true	false	false	true	false	true	true	true	true	true	true	false	false	false	false	true	false	true	false	true	true	false	false	false	true	true	true	2	19	7	7	3
true	false	false	false	false	false	true	true	true	true	false	false	false	true	true	true	true	true	false	true	true	true	false	true	true	true	false	false	false	true	false	true	false	false	true	3	19	5	5	3
false	false	true	true	true	false	false	true	false	true	false	true	false	false	false	false	true	false	true	false	true	false	true	false	false	false	false	false	true	false	true	false	false	true	true	3	1	5	2	2
true	true	false	false	false	true	true	true	true	false	false	true	true	true	false	false	false	false	false	true	false	false	true	true	false	false	false	true	false	false	true	true	false	true	true	5	6	3	6	1
