c1	c2	c3	c4	c5	c6	c7	c8	c9	--default-storage-engine	--binlog-format	--daemonize	--delay-key-write	--event-scheduler	--myisam-recover-options	--autocommit	--key-buffer-size	--max-allowed-packet	--max-connections	--wait-timeout	--interactive-timeout	--concurrency	--iterations	--number-int-cols	--number-char-cols	--commit	c10	c11	--detach
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables			--skip-networking	--super-large-pages	--symbolic-links	MyISAM	ROW	OFF	OFF	OFF	DEFAULT	1	1073741823	1024	66666	9600	9600	6	10	4	1	17	--compress	--enable-cleartext-plugin	0
--skip-external-locking	--character-set-client-handshake			--flush	--memlock			--symbolic-links	InnoDB	STATEMENT	ON	ALL	ON	FORCE	0	357913941	1073741824	100000	19200	1	1	1	7	10	0			1
--external-locking	--character-set-client-handshake	--external-locking			--memlock		--super-large-pages	--symbolic-links	BLACKHOLE	MIXED	OFF	ON	DISABLED	QUICK	0	8	357913941	33333	1	19200	13	7	1	7	34		--enable-cleartext-plugin	5
--skip-external-locking	--skip-character-set-client-handshake		--big-tables	--flush		--skip-networking		--symbolic-links	MyISAM	MIXED	ON	ON	ON	DEFAULT	1	715827882	715827882	33333	28800	28800	20	4	10	4	50	--compress		3
--skip-external-locking	--skip-character-set-client-handshake			--flush		--skip-networking		--symbolic-links	BLACKHOLE	ROW	ON	OFF	DISABLED	DEFAULT	1	8	715827882	100000	19200	9600	6	7	7	10	34	--compress		5
--external-locking	--skip-character-set-client-handshake		--big-tables		--memlock		--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	OFF	ALL	OFF	OFF	0	715827882	1073741824	66666	9600	28800	20	1	1	10	50		--enable-cleartext-plugin	0
--skip-external-locking	--character-set-client-handshake	--external-locking	--big-tables			--skip-networking		--symbolic-links	InnoDB	STATEMENT	OFF	OFF	OFF	FORCE	1	357913941	357913941	66666	28800	1	20	4	4	7	0	--compress	--enable-cleartext-plugin	5
--skip-external-locking	--character-set-client-handshake			--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	ROW	ON	ALL	ON	QUICK	0	1073741823	1024	100000	1	1	13	10	10	1	17			3
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock	--skip-networking		--symbolic-links	MyISAM	ROW	OFF	ALL	DISABLED	DEFAULT	1	1073741823	715827882	1	28800	19200	1	1	1	7	17	--compress		1
--external-locking	--character-set-client-handshake	--external-locking					--super-large-pages	--symbolic-links	InnoDB	MIXED	ON	OFF	ON	BACKUP	0	715827882	357913941	1	9600	9600	1	4	7	4	17		--enable-cleartext-plugin	5
--external-locking	--character-set-client-handshake	--external-locking		--flush				--symbolic-links	MyISAM	STATEMENT	ON	ON	OFF	OFF	1	8	1073741824	66666	19200	19200	13	7	4	4	0	--compress		3
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables			--skip-networking	--super-large-pages	--symbolic-links	InnoDB	STATEMENT	OFF	ON	DISABLED	FORCE	1	357913941	715827882	1	1	28800	1	7	10	1	34		--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake	--external-locking	--big-tables		--memlock	--skip-networking		--symbolic-links	MyISAM	MIXED	OFF	OFF	DISABLED	QUICK	0	715827882	1073741824	100000	1	19200	6	4	4	1	50	--compress	--enable-cleartext-plugin	1
--skip-external-locking	--character-set-client-handshake		--big-tables					--symbolic-links	BLACKHOLE	ROW	OFF	ON	ON	FORCE	1	715827882	1024	33333	19200	28800	6	10	7	7	34		--enable-cleartext-plugin	3
