c1	c2	c3	c4	c5	c6	c7	c8	c9	--default-storage-engine	--binlog-format	--daemonize	--delay-key-write	--event-scheduler	--myisam-recover-options	--autocommit	--key-buffer-size	--max-allowed-packet	--max-connections	--wait-timeout	--interactive-timeout	--concurrency	--iterations	--number-int-cols	--number-char-cols	--commit	c10	c11	--detach
--skip-external-locking	--skip-character-set-client-handshake			--flush		--skip-networking	--super-large-pages	--symbolic-links	BLACKHOLE	MIXED	ON	ALL	DISABLED	BACKUP	1	1073741823	357913941	33333	19200	19200	20	10	1	1	0	--compress		0
--skip-external-locking	--skip-character-set-client-handshake	--external-locking		--flush		--skip-networking	--super-large-pages	--symbolic-links	MyISAM	MIXED	OFF	ON	OFF	OFF	0	357913941	357913941	33333	9600	1	6	1	10	4	34			1
--skip-external-locking	--skip-character-set-client-handshake		--big-tables		--memlock	--skip-networking	--super-large-pages	--symbolic-links	InnoDB	STATEMENT	ON	ALL	OFF	OFF	0	8	1024	100000	28800	9600	13	10	7	1	50			5
--external-locking	--character-set-client-handshake	--external-locking		--flush	--memlock			--symbolic-links	BLACKHOLE	STATEMENT	ON	OFF	ON	OFF	0	1073741823	715827882	33333	1	28800	13	4	4	10	17		--enable-cleartext-plugin	0
--external-locking	--skip-character-set-client-handshake	--external-locking			--memlock			--symbolic-links	BLACKHOLE	ROW	OFF	ALL	DISABLED	FORCE	0	357913941	1024	100000	9600	1	13	7	1	4	50		--enable-cleartext-plugin	1
--external-locking	--skip-character-set-client-handshake		--big-tables	--flush			--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	OFF	ON	OFF	QUICK	1	8	715827882	66666	1	28800	1	10	7	4	0			0
--skip-external-locking	--character-set-client-handshake	--external-locking		--flush	--memlock			--symbolic-links	MyISAM	ROW	OFF	ON	ON	BACKUP	1	8	1073741824	66666	28800	28800	20	10	10	10	34		--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake	--external-locking	--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	InnoDB	STATEMENT	ON	OFF	DISABLED	DEFAULT	0	357913941	1073741824	33333	1	9600	13	1	10	10	0			3
--external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables		--memlock	--skip-networking		--symbolic-links	InnoDB	ROW	ON	ON	OFF	BACKUP	1	8	357913941	100000	9600	9600	20	4	1	7	17		--enable-cleartext-plugin	3
--skip-external-locking	--skip-character-set-client-handshake			--flush				--symbolic-links	BLACKHOLE	STATEMENT	ON	ALL	OFF	BACKUP	0	8	1024	1	19200	1	1	1	4	7	50	--compress	--enable-cleartext-plugin	0
--skip-external-locking	--character-set-client-handshake		--big-tables	--flush	--memlock			--symbolic-links	BLACKHOLE	MIXED	OFF	ALL	DISABLED	DEFAULT	0	715827882	1024	66666	9600	1	6	1	10	10	0	--compress		5
--skip-external-locking	--character-set-client-handshake			--flush	--memlock			--symbolic-links	MyISAM	ROW	ON	ON	ON	BACKUP	1	1073741823	715827882	100000	9600	19200	13	7	4	10	34		--enable-cleartext-plugin	5
--external-locking	--character-set-client-handshake					--skip-networking		--symbolic-links	InnoDB	ROW	OFF	ALL	ON	QUICK	1	357913941	1024	66666	19200	19200	20	7	10	10	17		--enable-cleartext-plugin	3
--skip-external-locking	--skip-character-set-client-handshake	--external-locking				--skip-networking	--super-large-pages	--symbolic-links	MyISAM	MIXED	ON	ALL	OFF	FORCE	0	1073741823	1073741824	100000	28800	19200	20	4	7	10	17		--enable-cleartext-plugin	0
--external-locking	--character-set-client-handshake	--external-locking		--flush			--super-large-pages	--symbolic-links	InnoDB	STATEMENT	ON	OFF	ON	QUICK	1	1073741823	357913941	100000	28800	28800	6	7	1	10	50			5
--external-locking	--skip-character-set-client-handshake	--external-locking		--flush	--memlock			--symbolic-links	MyISAM	ROW	ON	ALL	DISABLED	OFF	0	1073741823	1073741824	1	19200	1	1	4	10	7	34		--enable-cleartext-plugin	3
--skip-external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables	--flush			--super-large-pages	--symbolic-links	BLACKHOLE	ROW	OFF	ON	OFF	FORCE	1	8	1073741824	66666	1	9600	20	4	4	10	0	--compress	--enable-cleartext-plugin	5
--skip-external-locking	--character-set-client-handshake	--external-locking			--memlock	--skip-networking		--symbolic-links	MyISAM	ROW	ON	OFF	OFF	BACKUP	1	357913941	1024	100000	1	9600	6	1	7	1	0	--compress	--enable-cleartext-plugin	1
--external-locking	--character-set-client-handshake			--flush		--skip-networking		--symbolic-links	InnoDB	ROW	ON	OFF	OFF	QUICK	0	715827882	715827882	66666	9600	1	13	7	1	10	0	--compress	--enable-cleartext-plugin	5
--external-locking	--skip-character-set-client-handshake		--big-tables	--flush	--memlock		--super-large-pages	--symbolic-links	BLACKHOLE	STATEMENT	OFF	ALL	OFF	QUICK	1	1073741823	1024	1	28800	9600	1	4	1	4	0	--compress		5
--skip-external-locking	--skip-character-set-client-handshake	--external-locking	--big-tables					--symbolic-links	InnoDB	STATEMENT	OFF	ALL	ON	DEFAULT	0	357913941	357913941	1	1	9600	1	10	10	10	34	--compress		1
--skip-external-locking	--skip-character-set-client-handshake			--flush			--super-large-pages	--symbolic-links	MyISAM	STATEMENT	OFF	OFF	OFF	QUICK	1	357913941	357913941	33333	1	19200	1	1	1	7	34		--enable-cleartext-plugin	0
